naptan_id,station_name,modes,zone,lat,lon
9400ZZLUBND,Bond Street,"elizabeth-line, tube",1,51.514304,-0.149723
9400ZZLUBNK,Bank,"dlr, tube",1,51.51342,-0.088954
9400ZZLUBOR,Borough,tube,1,51.501199,-0.09337
9400ZZLUBOS,Boston Manor,tube,4,51.495635,-0.324939
9400ZZLUBST,Baker Street,tube,1,51.522883,-0.15713
9400ZZLUBTK,Burnt Oak,tube,4,51.602774,-0.264048
9400ZZLUBTX,Brent Cross,tube,3,51.57665,-0.213622
9400ZZLUBWR,Bow Road,tube,2,51.52694,-0.025128
9400ZZLUBWT,Bayswater,tube,1,51.512284,-0.187938
9400ZZLUBXN,Brixton,tube,2,51.462618,-0.114888
9400ZZLUBZP,Belsize Park,tube,2,51.550311,-0.164648
9400ZZLUCAR,Caledonian Road,tube,2,51.548519,-0.118493
9400ZZLUCFM,Chalk Farm,tube,2,51.544118,-0.153388
9400ZZLUCGN,Covent Garden,tube,1,51.513093,-0.124436
9400ZZLUCGT,Canning Town,tube,2,51.513584,0.008322
9400ZZLUCHL,Chancery Lane,tube,1,51.518247,-0.111583
9400ZZLUCHX,Charing Cross,tube,1,51.50741,-0.127277
9400ZZLUCKS,Cockfosters,tube,5,51.65152,-0.149171
9400ZZLUCND,Colindale,tube,4,51.595424,-0.249919
9400ZZLUCPC,Clapham Common,tube,2,51.461742,-0.138317
9400ZZLUCPK,Canons Park,tube,5,51.607701,-0.294693
9400ZZLUCPN,Clapham North,tube,2,51.465135,-0.130016
9400ZZLUCPS,Clapham South,tube,2,51.452654,-0.147582
9400ZZLUCSD,Colliers Wood,tube,3,51.41816,-0.178086
9400ZZLUCST,Cannon Street,tube,1,51.51151,-0.090432
9400ZZLUCTN,Camden Town,tube,2,51.539292,-0.14274
9400ZZLUCWL,Chigwell,"bus, tube",4,51.617916,0.075041
9400ZZLUCWR,Canada Water,tube,2,51.497945,-0.049722
9400ZZLUCYF,Canary Wharf,"elizabeth-line, tube",2,51.503488,-0.018246
9400ZZLUDBN,Debden,tube,6,51.645386,0.083782
9400ZZLUDGE,Dagenham East,tube,5,51.544096,0.166017
9400ZZLUDGY,Dagenham Heathway,tube,5,51.541639,0.147527
9400ZZLUDOH,Dollis Hill,tube,3,51.551955,-0.239068
9400ZZLUEAC,Elephant & Castle,tube,1,51.494536,-0.100606
9400ZZLUEAE,Eastcote,tube,5,51.576506,-0.397373
9400ZZLUEAN,East Acton,tube,2,51.516612,-0.247248
9400ZZLUEBY,Ealing Broadway,tube,3,51.515017,-0.301457
9400ZZLUECM,Ealing Common,tube,3,51.51014,-0.288265
9400ZZLUECT,Earl's Court,tube,1,51.492063,-0.193378
9400ZZLUEFY,East Finchley,tube,3,51.587131,-0.165012
9400ZZLUEGW,Edgware,tube,5,51.613653,-0.274928
9400ZZLUEHM,East Ham,tube,3,51.538948,0.051186
9400ZZLUEMB,Embankment,tube,1,51.507058,-0.122666
9400ZZLUEPG,Epping,tube,6,51.69368,0.113767
9400ZZLUEPK,Elm Park,tube,6,51.549775,0.19864
9400ZZLUEPY,East Putney,tube,2,51.459205,-0.211
9400ZZLUERB,Edgware Road (Bakerloo),tube,1,51.520299,-0.17015
9400ZZLUERC,Edgware Road (Circle Line),tube,1,51.519858,-0.167832
9400ZZLUESQ,Euston Square,tube,1,51.525604,-0.135829
9400ZZLUEUS,Euston,tube,1,51.527999,-0.133785
9400ZZLUFBY,Fulham Broadway,tube,2,51.480081,-0.195422
9400ZZLUFCN,Farringdon,"elizabeth-line, tube",1,51.520252,-0.104913
9400ZZLUFLP,Fairlop,tube,4,51.595618,0.091004
9400ZZLUFPK,Finsbury Park,tube,2,51.564158,-0.106825
9400ZZLUFYR,Finchley Road,tube,2,51.546825,-0.179845
9400ZZLUGBY,Gunnersbury,tube,3,51.491803,-0.275267
9400ZZLUGBY2,Gunnersbury Station,"overground, tube",3,51.491481,-0.275395
9400ZZLUGDG,Goodge Street,tube,1,51.520599,-0.134361
